Benchmark "1"	"2"	"4"	"8"
CG	3.2497265112	5.9789348098	3.447353647	2.0134639479
EP	0.0304871891	1.4278144327	0.0262994084	0.1097541531
FT	0.0284652965	0.0423294012	0.0176503793	0.2191536837
IS	0							1.7145199129	4.1350423381	2.9967221623
SP	-0.2805866581	-0.0793980234	-0.2587287615	1.2122448774
